T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
509.271,800.519,697.07,702.266,509.927,506.104,349.812,297.827,236.619,244.467,237.977,246.814,289.452,433.391,429.612,905.498,454.151,381.018
500.674,743.283,664.889,660.664,475.367,502.575,365.621,304.126,236.393,243.855,233.883,250.434,278.093,392.024,385.328,811.306,378.528,339.924
497,692.009,600.971,608.999,447.575,479.243,356.822,300.404,238.304,241.398,231.079,252.792,269.735,369.378,347.433,753.903,326.11,300.973
439.94,590.942,496.391,589.335,466.762,509.845,375.697,303.289,232.674,246.549,233.672,254.205,270.511,360.403,327.156,688.702,285.339,266.575
379.328,499.961,433.743,610.951,521.076,526.54,377.695,299.285,238.807,241.407,237.221,250.738,292.025,432.894,360.286,647.148,266.261,251.301
325.766,446.768,384.259,611.095,559.513,518.838,374.292,307.921,238.331,243.665,233.421,254.172,313.188,567.172,442.207,612.341,249.216,239.677
289.778,390.393,342,581.672,600.897,555.354,378.684,298.311,238.987,242.319,235.232,258.79,336.221,658.877,454.058,590.552,238.323,229.663
270.969,352.073,317.788,510.27,618.27,629.855,391.089,302.043,237.378,240.604,236.311,261.148,372.157,695.625,407.051,569.816,229.601,222.037
255.703,327.281,295.311,429.961,603.534,678.213,417.574,303.539,237.839,245.048,235.996,268.122,399.365,643.08,354.194,544.345,223.466,225.74
245.64,311.436,273.531,370.375,533.788,709.644,443.36,313.953,237.728,248.937,233.511,285.365,412.041,571.498,317.297,525.698,220.697,218.898
238.48,291.446,269.677,335.498,447.633,646.233,491.227,323.506,238.304,247.082,244.06,320.417,405.889,465.463,292.319,517.128,215.11,212.577
234.398,281.702,268.679,308.227,376.674,634.614,645.227,367.785,240.774,251.761,257.13,409.354,401.529,404.26,282.447,506.892,213.775,213.781
231.756,275.039,258.84,289.586,336.722,619.804,743.94,400.677,243.719,254.686,278.279,477.302,392.457,354.907,273.297,487.995,210.975,209.006
224.232,270.579,256.313,278.162,307.159,576.25,856.264,444.677,255.167,256.771,287.189,505.59,365.876,339.446,271.047,477.189,210.326,211.006
