T2R,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
293.714,335.903,359.866,612.968,585.669,354.63,305.858,225.059,228.984,181.489,245.472,268.323,239.452,224.619,190.874,187.474,212.352,214.724
287.823,326.366,357.351,606.191,572.81,356.399,299.861,227.798,229.481,179.83,243.488,271.006,240.051,224.563,186.609,182.192,203.216,199.814
294.286,323.139,352.048,592.912,548.55,349.563,296.865,238.165,233.791,177.421,241.834,270.704,233.75,221.032,184.399,181.213,188.756,189.335
325.453,326.092,353.364,561.917,522.093,334.331,313.66,236.452,235.337,176.441,232.405,272.059,230.699,214.592,183.952,176.143,192.64,183.418
321.429,327.342,342.923,565.627,525.077,343.947,295.729,239.295,231.9,175.849,237.543,272.378,234.821,218.677,185.821,178.313,185.476,177.582
314.791,310.165,334.842,536.963,500.582,333.827,299.188,243.364,239.684,179.566,233.117,271.443,227.669,217.114,185.01,176.145,182.45,174.193
298.687,307.79,314.285,505.949,475.225,333.965,302.056,250.939,230.931,181.074,226.218,267.249,232.833,214.141,183.179,173.36,175.969,172.279
286.155,299.727,313.553,480.348,439.331,334.636,303.5,240.63,231.069,181.788,230.27,264.9,227.808,212.642,182.179,168.596,175.738,170.161
306.975,311.074,326.75,498.668,449.701,330.704,309.802,250.426,237.9,180.402,220.331,264.578,229.111,214.276,184.655,175.9,177.612,181.369
314.975,313.894,321.485,482.94,452.556,331.449,304.233,247.979,232.512,185.119,221.561,265.29,233.061,213.194,183.523,176.911,185.915,180.244
322.278,313.545,315.671,482.933,446.238,325.39,305.667,252.106,234.322,180.408,211.58,262.572,233.197,208.903,180.884,177.315,183.445,175.289
320.601,308.548,308.075,470.652,429.746,326.085,295.455,251.043,236.072,182.357,215.448,258.358,232.187,213.657,183.529,173.231,177.787,167.689
301.85,303.111,293.531,444.385,431.833,324.396,311.823,254.503,235.272,177.711,215.564,260.205,229.949,207.293,181.223,173.033,175.159,168.709
273.534,289.347,291.164,427.597,399.492,315.167,302.847,253.665,232.134,187.376,217.291,264.601,223.568,208.393,181.84,171.825,175.17,161.203
280.894,294.71,288.14,427.29,400.974,329.663,304.729,250,235.697,181.984,211.804,262.375,229.545,199.299,181.523,170.722,172.884,165.262
297.626,299.59,294.515,428.173,383.064,328.501,305.285,253.434,232.856,182.836,213.021,272.965,226.644,207.276,181.792,173.381,182.784,173.166
303.244,298.684,295.798,424.477,389.183,329.545,318.181,256.811,229.528,185.074,217.564,270.545,230.407,205.144,177.685,173.547,175.661,167.533
304.478,292.121,278.48,406.23,384.749,358.962,385.205,254.891,231.538,185.283,215.356,285.258,231.806,211.496,181.347,169.009,177.627,169.526
283.956,278.387,258.151,389.629,385.987,389.548,423.458,254.428,235.031,186.148,219.359,301.528,237.765,212.208,179.634,166.846,172.378,161.379
268.729,271.015,253.257,372.108,381.183,448.642,488.163,259.532,235.05,188.746,216.202,341.754,247.068,209.707,178.872,169.491,167.098,162.822
253.143,264.553,245.636,359.408,414.929,523.809,562.01,255.051,235.072,185.637,218.123,379.543,263.596,208.71,180.893,167.329,167.44,159.303
245.293,260.652,232.399,343.553,423.18,617.745,575.764,254.785,226.153,186.826,212.574,400.616,278.669,209.235,178.466,171.308,171.627,159.719
235.663,253.016,228.925,342.853,442.621,674.639,564.861,260.242,234.216,186.248,210.733,395.997,300.003,213.804,178.078,172.666,168.692,158.174
227.5,248.432,227.118,350.88,471.768,749.979,527.997,257.713,236.569,190.109,207.383,371.601,316.429,216.144,178.601,170.016,169.149,160.878
222.581,243.516,225.765,353.756,492.662,805.762,456.972,266.29,232.119,195.305,207.521,348.859,349.452,222.067,178.847,168.255,170.129,155.213
219.148,242.961,226.23,363.525,571.228,807.956,420.851,260.782,238.159,192.219,207.199,326.501,363.399,242.909,181.914,170.813,166.419,158.487
213.796,236.637,229.414,386.062,631.711,742.191,385.931,251.625,234.706,192.64,204.353,298.859,343.717,259.252,183.807,175.519,166.864,153.822
213.118,233.444,225.515,417.309,713.032,664.296,361.531,257.801,233.225,198.087,206.163,282.261,303.202,302.736,190.7,177.206,169.162,156.726
206.709,232.34,234.132,468.274,716.762,542.46,337.861,257.423,233.447,197.756,203.227,270.349,270.98,319.37,202.7,176.654,168.188,157.611
205.653,231.056,241.182,539.359,664.781,473.337,331.872,256.926,239.084,200.489,199.813,267.892,254.26,302.569,211.057,181.925,170.889,159.12
204.3,230.835,238.715,587.329,575.894,428.073,326.976,258.021,239.822,196.572,198.457,260.469,244.77,263.804,226.645,185.734,170.871,156.707
206.31,230.326,257.546,571.684,483.389,398.56,319.306,257.16,236.988,195.83,202.138,263.938,237.72,239.287,225.158,193.664,172.584,157.222
202.66,233.785,270.101,494.721,422.035,378.607,313.92,254.803,236.447,197.823,198.816,260.953,232.677,224.815,212.947,211.388,176.316,157.034
202.315,239.815,275.274,421.493,376.932,367.601,316.635,255.332,229.741,195.83,199.23,266.563,237.268,209.487,203.248,217.269,176.681,157.521
206.443,254.21,254.857,352.214,350.942,365.909,308.861,255.875,235.156,193.585,198.067,258.569,231.662,209.047,189.807,204.61,192.285,159.377
210.648,264.45,235.263,316.887,343.823,348.613,317.267,254.093,235.434,196.006,195.245,256.267,230.722,202.789,187.107,191.846,201.663,164.848
212.229,250.429,223.112,297.744,330.678,350.384,314.326,254.455,232.434,192.994,199.709,256.897,231.987,204.358,184.456,187.117,195.653,162.672
209.83,242.697,220.662,289.235,318.884,349.217,317.208,256.489,231.609,195.756,199.828,256.751,229.452,203.592,181.076,177.383,186.817,160.733
208.667,230.94,210.125,277.058,311.379,342.413,304.076,256.521,232.163,192.132,198.663,257.739,228.073,206.264,178.685,174.984,177.735,156.726
205.451,226.452,211.623,267.306,304.167,339.422,301.722,257.771,231.794,198.023,198.788,258.487,232.833,202.27,178.664,173.9,178.99,159.958
200.175,220.161,206.509,262.615,302.682,339.106,302.531,253.069,235.041,195.868,206.748,256.927,229.207,201.015,179.078,172.748,177.537,159.406
197.616,221.279,209.007,259.419,289.444,324.801,304.976,251.386,232.581,194.148,205.08,257.416,224.126,205.883,177.334,171.699,175.627,159.584
196.815,213.7,204.226,257.281,293.762,332.751,310.292,257.346,239,192.942,204.911,264.452,230.917,206.874,176.939,173.079,174.085,154.716
193.892,209.06,206.599,260.461,287.248,322.282,307.872,250.489,230.025,190.141,202.135,260.833,224.947,200.701,176.616,173.075,169.424,157.841
191.68,206.503,207.577,246.532,285.556,329.114,299.694,250.793,234.809,187.913,210.258,252.449,225.033,198.786,178.13,172.068,171.347,157.721
190.732,212.744,203.559,248.101,279.653,321.108,297.885,248.979,234.366,180.296,213.193,260.801,226.333,202.223,177.397,171.1,167.9,159.017
189.796,211.895,202.215,246.643,274.495,320.361,291.059,248.944,241.153,187.444,213.911,259.352,224.758,199.308,179.347,169.626,167.766,157.428
190.273,209.519,198.95,251.247,271.286,325.32,297.444,243.005,234.331,182.241,217.791,264.818,225.197,200.05,177.655,172.554,168.504,157.78
189.791,208.34,203.781,248.767,271.997,322.566,296.236,243.133,233.319,185.804,219.086,272.56,228.783,200.147,176.376,171.171,168.093,160.738
189.564,206.587,199.158,242.417,277.145,317.211,291.681,247.383,233.688,180.563,214.641,267.639,227.727,193.613,178.244,172.479,171.884,162.318
186.153,201.59,198.116,240.309,278.543,315.707,284.309,241.237,235.212,181.093,213.675,259.78,225.861,193.909,173.567,170.201,169.149,161.122
186.665,194.51,196.184,238.306,274.1,316.982,289.021,240.811,231.762,180.508,224.012,270.214,227.104,197.176,174.83,169.348,167.198,162.983
191.039,189.229,189.18,239.171,265.592,319.76,292.684,246.612,236.366,176.576,214.975,266.765,224.528,194.282,177.708,169.748,167.558,167.504
195.222,191.523,187.969,238.323,263.077,312.284,288.809,246.404,234.597,181.232,222.135,264.566,225.015,201.853,173.716,169.435,170.201,163.438
196.564,195.456,193.151,243.597,267.582,319.188,295.101,242.362,232.259,179.64,216.129,263.704,225.79,196,177.704,168.773,170.545,164.445
197.739,192.334,194.851,233.535,265.691,324.44,293.715,246.713,232.241,184.598,214.742,261.223,221.581,199.252,175.941,171.93,167.555,160.164
